vendorItemId,vendorId,resourceId,catalogNumber,catalogNumberURL
VITa4cbdf5f,VEN9251dd79,RESbbf9198e,SAB450399,
VITcb3dd6fa,VEN81a72d63,RES28c68bc2,9101L,
VIT4cf6032f,VEN81a72d63,RES24b15955,9271L,
VITea26b7d6,VEN579436d5,RES01c548c8,103112,
VIT9fd0b9d4,VENc226e143,RES3451c7e1,9102,
VITe6a1e8ef,VENc226e143,RES5412d45a,9101,
VIT9fd0b9d4,VENc226e143,RES565306bf,9102,
VITe6a1e8ef,VENc226e143,RESa9627f3f,9101,
VITb52e680d,VEN0a69cf1f,RESd8bc51ac,AB5535,
VIT197014fd,VENc226e143,RESfb1ea3d8,D7R7D,
VIT41f80826,VEN60881bf2,RES2794eb0e,16-0031-86,
VITa90dc834,VEN60881bf2,RESd23ff8ae,16-0281-85,
VIT1be45b7e,VEN9e49b881,RES7b76f73a,559619,
VIT62aa9f4e,VEN579436d5,RES9a11aa6c,102410,
VITb0ffcdfe,VEN579436d5,RES9c0f565c,101320,
VIT36cd9997,VEN579436d5,RES2e73d687,116208,
